education,income,recency,mnt_wines,mnt_fruits,mnt_meat_products,mnt_fish_products,mnt_sweet_products,mnt_gold_prods,num_deals_purchases,num_web_purchases,num_catalog_purchases,num_store_purchases,num_web_visits_month,complain,response,age,family_size,total_spending,days_as_customer,offers_responded_to,parental_status,cluster
2,40689.0,69,270,3,27,39,6,99,7,7,1,5,8,0,0,73,3,444,4265,0,1,2
2,18589.0,89,6,4,25,15,12,13,2,2,1,3,7,0,0,55,1,75,4340,0,0,1
2,53359.0,4,173,4,30,3,6,41,4,5,1,4,7,0,0,48,4,257,4195,0,1,1
2,51381.5,19,5,1,3,3,263,362,0,27,0,0,1,0,0,38,2,637,4291,0,1,0
2,38360.0,26,36,2,42,20,21,10,2,2,1,4,3,0,0,35,3,131,4191,0,1,1
4,84618.0,96,684,100,801,21,66,0,1,6,9,10,2,0,0,59,2,1672,4016,1,0,0
3,10979.0,34,8,4,10,2,2,4,2,3,0,3,5,0,0,35,1,30,3835,0,0,1
3,38620.0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,61,2,318,4211,0,0,1
2,40548.0,31,110,0,5,2,0,3,2,2,1,4,5,0,0,54,3,120,4424,1,1,1
4,46610.0,8,96,12,96,33,22,43,6,4,1,6,6,0,1,72,3,302,4405,1,1,2
3,68657.0,4,482,34,471,119,68,22,1,3,5,9,7,0,0,78,2,1196,4291,0,0,0
3,49389.0,55,40,0,19,2,1,3,1,2,0,3,7,0,0,73,3,65,4101,0,1,1
4,67353.0,37,702,17,151,0,8,35,5,5,6,12,2,0,0,54,3,913,3977,0,1,2
1,23718.0,76,6,3,14,15,7,36,3,3,1,2,7,0,0,48,3,81,4097,0,1,1
2,42429.0,99,55,0,6,2,0,4,2,1,1,3,5,0,0,51,2,67,3935,0,1,1
4,48948.0,53,437,8,206,160,49,42,2,7,10,5,6,0,1,81,1,902,4310,2,0,0
2,80011.0,3,421,76,536,82,178,102,2,8,6,5,4,0,0,44,3,1395,4223,0,1,0
3,20559.0,88,13,1,29,3,0,7,2,2,0,3,8,0,0,39,3,53,4271,0,1,1
2,21994.0,4,9,0,6,3,1,3,1,0,0,3,5,0,0,67,3,22,4349,0,1,1
4,51381.5,80,81,11,50,3,2,39,1,1,3,4,2,0,0,65,1,186,4033,0,0,1
3,7500.0,19,3,1,10,3,2,12,3,2,0,3,5,0,0,49,3,31,4067,0,1,1
2,79941.0,72,123,164,266,227,30,174,1,2,4,9,1,0,0,48,1,984,3798,0,0,0
1,7500.0,24,3,18,14,15,22,50,3,3,1,3,9,0,1,28,2,122,4394,1,0,1
2,41728.0,92,13,6,15,3,5,13,1,2,0,2,10,0,0,56,3,55,4198,0,1,1
2,51381.5,96,48,5,48,6,10,7,3,2,1,4,6,0,0,73,4,124,3976,0,1,1
4,72550.0,39,826,50,317,50,38,38,9,5,2,12,8,0,0,70,4,1319,4395,0,1,2
2,65486.0,29,245,19,125,37,67,14,1,4,2,10,2,0,0,67,2,507,3845,0,1,2
3,79143.0,2,650,37,780,27,167,32,1,6,9,13,3,0,0,60,2,1693,4484,0,0,0
2,35790.0,54,12,6,20,30,1,3,2,2,0,3,7,0,0,47,2,72,4340,0,1,1
2,82582.0,54,510,120,550,156,40,241,1,4,9,7,1,0,1,47,1,1617,3819,3,0,0
2,66373.0,57,328,9,124,12,24,109,7,4,2,10,3,0,0,46,4,606,4179,0,1,2
3,82384.0,55,984,51,432,180,120,190,1,3,10,13,1,0,1,69,2,1957,4384,2,0,0
2,70287.0,30,295,35,482,121,120,40,1,5,5,10,3,0,1,58,1,1093,4250,1,0,0
2,27938.0,31,13,0,8,2,1,5,1,1,0,4,3,0,0,36,2,29,3859,0,1,1
2,51381.5,57,11,3,22,2,2,6,2,2,0,3,6,0,0,42,2,46,4174,0,1,1
4,55954.0,63,447,0,28,0,0,43,3,8,2,6,7,0,0,56,3,518,3915,0,1,2
3,75777.0,12,712,26,538,69,13,80,1,3,6,11,1,0,1,42,1,1438,4157,3,0,0
2,66653.0,18,452,18,102,16,18,6,4,4,2,12,3,0,0,49,4,612,4457,0,1,2
2,61823.0,26,523,7,134,37,14,169,4,8,2,10,7,0,0,72,2,884,4293,0,1,2
4,67680.0,8,546,0,48,0,6,6,1,7,3,8,5,0,0,73,2,606,4180,0,1,2
2,70666.0,29,398,40,367,119,122,30,1,7,4,4,4,0,0,76,2,1076,4002,0,0,0
2,25721.0,75,1,3,6,3,6,15,1,1,1,2,7,0,1,53,3,34,4201,1,1,1
2,32474.0,0,10,0,1,0,0,0,1,1,0,2,7,0,0,57,4,11,3846,0,1,1
1,88194.0,19,688,14,309,201,24,38,1,11,10,10,5,0,1,45,2,1274,3899,3,1,0
2,69096.0,4,247,49,159,7,82,109,1,5,2,10,4,0,0,66,3,653,4072,0,1,2
2,74854.0,90,856,59,487,58,29,73,7,2,5,5,5,0,0,54,5,1562,4244,0,1,2
3,66991.0,1,496,36,460,189,60,12,3,4,8,6,3,0,0,70,2,1253,4453,0,0,0
1,51381.5,25,25,3,43,17,4,17,3,3,0,3,8,0,0,51,3,109,4450,0,1,1
2,65031.0,29,258,107,291,84,37,86,4,10,3,13,7,0,0,65,3,863,4266,0,1,2
4,60631.0,88,565,6,65,0,6,19,5,9,2,8,7,0,0,49,4,661,4247,1,1,2
2,28332.0,58,14,10,13,4,15,9,1,2,1,4,2,0,0,72,2,65,3857,0,0,1
2,40246.0,68,2,1,6,2,1,1,1,1,0,2,6,0,0,47,2,13,4354,0,1,1
3,75251.0,34,721,111,925,97,18,18,1,7,6,5,5,0,1,52,2,1890,4468,1,0,0
2,75825.0,40,1032,105,779,137,105,51,0,5,8,9,4,0,1,48,1,2209,4422,2,0,0
1,26326.0,12,1,0,5,0,3,9,1,0,0,3,3,1,0,48,2,18,4095,0,0,1
2,56046.0,9,577,0,64,0,0,51,2,10,1,8,8,0,1,59,2,692,4340,2,0,2
2,29760.0,87,64,4,68,7,5,17,4,3,1,4,8,0,0,39,2,165,4466,0,1,1
2,26304.0,5,4,1,5,2,0,4,1,1,0,2,7,0,0,55,3,16,4168,0,1,1
1,23559.0,87,25,5,19,7,0,23,3,3,0,3,7,0,0,51,3,79,4158,0,1,1
3,38620.0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,61,2,318,4211,0,0,1
2,81361.0,18,163,23,424,27,65,76,1,3,10,13,1,0,0,37,1,778,3921,0,0,0
2,29440.0,95,17,8,14,10,4,3,2,1,0,4,7,0,0,64,4,56,4119,0,1,1
3,36138.0,48,130,0,16,0,0,5,5,3,1,4,7,0,0,54,4,151,4145,1,1,1
2,50388.0,3,292,6,37,0,3,34,4,6,1,6,7,0,1,67,2,372,3829,3,1,2
2,79593.0,70,350,60,568,110,133,145,1,5,6,7,2,0,0,51,2,1366,3845,1,0,0
2,54178.0,79,135,9,39,4,0,7,1,2,2,5,2,0,0,57,3,194,3956,0,1,1
4,51381.5,4,230,42,192,49,37,53,12,7,2,8,9,0,0,67,5,603,4384,0,1,2
2,51381.5,45,7,0,8,2,0,1,1,1,0,2,7,0,0,67,3,18,3830,0,1,1
3,51381.5,87,445,37,359,98,28,18,1,2,4,8,1,0,0,51,2,985,4015,0,0,0
3,42394.0,69,15,2,10,0,1,4,1,1,0,3,7,0,0,52,2,32,3895,0,1,1
4,23626.0,84,27,2,14,0,0,0,3,3,1,3,5,0,0,54,3,43,3833,0,1,1
2,30096.0,30,5,3,11,12,5,9,1,2,0,3,6,0,0,41,3,45,3835,0,1,1
2,47916.0,72,505,0,26,0,0,75,5,7,4,6,6,0,0,64,2,606,4381,1,1,2
2,51813.0,37,51,2,7,0,1,2,2,2,0,3,7,0,0,52,3,63,4241,0,1,1
1,78497.0,44,207,26,447,75,0,223,1,5,7,12,2,0,0,73,2,978,4007,1,0,0
4,50150.0,32,135,46,92,65,61,11,2,5,2,7,5,0,0,41,2,410,4171,0,0,2
1,47823.0,0,53,1,5,2,1,10,2,2,0,3,8,0,0,64,2,72,4138,0,1,1
4,34554.0,43,41,1,6,2,0,5,2,2,0,3,6,0,0,65,2,55,3888,0,1,1
2,85693.0,59,386,172,183,185,132,111,2,9,5,11,5,0,0,45,3,1169,4232,0,1,0
4,65846.0,68,562,81,276,80,40,81,1,6,3,6,4,0,0,79,2,1120,4205,0,0,0
2,87195.0,35,217,76,690,50,26,38,1,3,11,5,1,0,1,65,2,1097,3849,1,0,0
0,24594.0,94,1,3,6,10,0,9,1,1,0,3,5,0,0,45,3,29,3998,0,1,1
2,49096.0,15,144,1,32,2,1,7,4,4,1,4,7,0,0,60,4,187,4075,0,1,1
2,52413.0,56,295,106,271,75,98,65,4,6,4,12,6,0,0,55,4,910,4309,0,1,2
2,38557.0,17,76,3,31,4,4,27,2,3,1,3,7,0,0,46,2,145,4354,0,1,1
3,89058.0,18,454,194,106,31,22,43,1,5,4,4,2,0,0,64,2,850,4366,0,0,0
2,77298.0,46,425,115,292,23,35,79,1,6,6,11,3,0,0,45,3,969,4036,0,1,0
4,68126.0,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,33,1,1820,4393,2,0,0
3,57288.0,27,527,0,21,0,0,60,3,8,1,8,6,0,0,61,3,608,3801,1,1,2
2,86037.0,95,490,44,125,29,20,22,1,6,7,11,3,0,1,33,1,730,4340,3,0,0
4,43974.0,19,378,0,101,0,0,72,5,6,4,6,7,0,0,44,3,551,4361,0,1,2
2,50785.0,27,64,1,21,0,1,27,2,2,1,3,6,0,0,62,3,114,4089,0,1,1
2,90765.0,25,547,99,812,151,82,33,0,4,6,5,1,0,0,54,2,1724,3953,2,0,0
1,36550.0,74,47,90,94,123,103,120,5,9,1,5,9,0,0,46,3,577,4292,0,1,2
1,30753.0,85,12,5,25,0,9,30,2,1,1,3,5,0,0,57,4,81,4150,0,1,1
2,21918.0,37,1,6,7,11,5,3,2,2,0,3,6,0,0,55,3,33,4024,0,1,1
3,56129.0,65,320,48,133,39,72,48,4,6,2,10,4,0,0,71,3,660,4171,0,1,2
3,32557.0,13,34,3,29,0,4,10,3,2,1,3,5,0,1,57,2,80,3922,1,1,1
3,19510.0,63,9,0,7,3,4,7,2,1,0,3,7,0,0,39,4,30,4095,0,1,1
2,30992.0,83,17,0,14,7,3,2,1,1,0,3,7,0,0,48,2,43,4230,0,1,1
2,101970.0,69,722,27,102,44,72,168,0,6,8,13,2,0,1,41,1,1135,4271,4,0,0
1,71488.0,87,162,33,124,40,28,172,2,3,4,7,1,0,0,59,2,559,4293,0,0,0
2,79607.0,37,450,133,951,173,0,216,1,3,6,6,1,0,1,40,1,1923,4231,1,0,0
3,54348.0,51,70,0,16,0,0,4,2,2,0,4,6,0,0,71,4,90,3818,0,1,1
4,51381.5,23,352,0,27,10,0,15,3,6,1,7,6,0,0,63,3,404,4150,0,1,2
4,77376.0,72,492,19,110,16,12,12,4,6,3,10,4,0,0,68,4,661,3847,0,1,2
2,62998.0,10,120,58,73,65,89,58,5,5,4,5,5,0,0,72,3,463,4069,0,1,2
3,61331.0,42,534,5,47,0,5,41,5,11,1,6,8,0,0,66,3,632,4273,0,1,2
2,73448.0,10,236,106,189,23,41,130,1,7,2,9,4,0,0,55,2,725,3936,0,0,0
2,51381.5,96,231,65,196,38,71,124,1,6,5,7,4,0,0,61,3,725,4119,0,1,2
4,41551.0,51,220,0,33,3,0,23,5,5,1,5,8,0,0,60,4,279,4116,0,1,2
4,62981.0,21,796,14,590,38,44,0,1,4,5,13,3,0,0,57,2,1482,4266,1,0,0
0,9548.0,31,0,1,3,10,6,9,2,1,0,3,8,0,0,48,2,29,4487,0,1,1
4,33762.0,61,53,1,34,2,0,16,3,2,2,2,8,0,0,65,5,106,4154,0,1,1
4,35860.0,37,15,0,8,4,2,20,2,1,1,2,5,0,1,51,3,49,3838,2,1,1
4,36921.0,74,17,1,12,3,1,4,2,2,0,3,7,0,0,59,3,38,4133,0,1,1
3,92859.0,46,962,61,921,52,61,20,1,5,4,12,2,0,0,32,1,2077,4415,0,0,0
3,65104.0,4,738,0,232,13,20,50,2,3,5,7,7,0,1,48,3,1053,4024,1,1,2
2,86111.0,73,399,28,756,36,40,126,1,5,7,10,2,0,0,62,2,1385,4233,0,0,0
4,68352.0,47,614,16,132,43,33,33,3,8,5,9,6,0,0,50,2,871,4102,0,1,2
2,41883.0,13,32,34,41,73,16,116,3,4,2,3,7,0,0,36,3,312,4264,0,1,2
2,59809.0,36,598,16,141,32,41,49,3,3,3,6,8,0,0,48,4,877,4416,0,1,2
2,23957.0,47,2,1,18,20,11,16,1,2,0,3,6,0,1,49,3,68,4406,1,1,1
2,38547.0,49,6,1,10,0,1,4,1,1,0,2,8,1,0,43,3,22,4102,0,1,1
1,35688.0,94,73,3,90,12,1,32,7,4,1,4,8,0,0,51,5,211,4473,0,1,2
3,49605.0,65,42,16,29,12,20,8,1,2,1,4,3,0,0,58,2,127,3805,0,0,1
3,59354.0,59,295,21,78,39,13,13,1,4,4,7,3,0,0,71,4,459,3863,0,1,2
2,65747.0,96,346,17,48,23,13,13,4,8,1,6,6,0,0,55,3,460,3911,1,1,2
1,46344.0,28,233,20,57,8,20,91,4,7,1,5,7,0,0,52,3,429,4359,0,1,2
2,34176.0,12,5,7,24,19,14,20,4,3,0,4,6,0,0,36,2,89,3845,0,1,1
4,61010.0,57,888,0,57,0,0,76,2,8,5,11,5,0,0,72,3,1021,4425,0,1,2
2,69372.0,10,997,26,269,34,13,42,1,10,4,6,4,0,1,75,2,1381,4292,3,0,0
2,49967.0,4,212,6,69,4,12,3,3,6,1,5,7,0,0,66,2,306,4153,0,1,2
2,60199.0,49,8,1,7,2,0,0,1,0,0,3,4,0,0,46,4,18,4087,0,1,1
2,55375.0,3,42,11,57,10,28,14,1,1,1,6,2,0,0,47,3,162,4052,0,1,1
2,80317.0,64,536,11,387,149,91,57,1,3,4,10,1,0,0,69,1,1231,4110,0,0,0
3,30523.0,0,5,0,3,0,0,5,1,1,0,2,7,0,0,66,4,13,4160,0,1,1
4,70356.0,20,1349,16,249,43,16,33,2,10,6,9,6,0,0,79,2,1706,4398,0,0,0
2,23228.0,91,53,3,49,7,4,5,4,3,0,4,8,0,0,40,3,121,3972,0,1,1
4,74165.0,9,1001,12,240,16,12,12,1,5,4,10,2,0,0,49,1,1293,4221,0,0,0
4,157243.0,98,20,2,1582,1,2,1,15,0,22,0,0,0,0,51,3,1608,3917,0,1,2
2,43482.0,83,18,1,32,6,3,28,3,2,0,4,6,0,0,58,5,88,4025,0,1,1
2,62551.0,27,125,16,98,134,21,27,1,6,7,4,3,0,0,71,1,421,4020,1,0,0
2,52332.0,63,212,5,33,7,0,2,1,3,2,6,4,0,0,65,1,259,4102,1,0,1
2,66951.0,46,277,162,305,173,76,124,1,3,4,7,1,0,0,36,1,1117,4036,0,0,0
2,26091.0,84,15,10,19,8,17,20,3,2,1,3,5,0,0,67,4,89,3921,0,1,1
2,33456.0,58,7,3,10,8,1,7,2,1,0,3,7,0,0,59,4,36,3866,0,1,1
2,28718.0,78,12,4,6,11,8,16,2,2,0,3,8,0,0,42,3,57,4148,0,1,1
2,50447.0,4,85,7,24,2,3,27,1,3,1,3,6,0,0,54,4,148,3866,0,1,1
4,53537.0,17,81,0,6,0,0,6,2,2,1,3,5,0,0,65,4,93,3947,0,1,1
2,52074.0,77,59,0,12,0,0,48,1,2,2,2,4,0,0,57,2,119,3883,1,1,1
4,80427.0,56,1149,71,449,69,71,26,1,11,8,8,5,0,0,49,3,1835,4452,0,1,0
4,83837.0,79,847,66,119,86,89,111,1,9,10,5,4,0,1,76,2,1318,4357,3,0,0
4,38853.0,90,29,0,14,0,0,2,2,2,0,3,7,0,0,54,4,45,3834,0,1,1
2,38285.0,96,2,0,5,2,0,1,1,0,0,3,2,0,0,65,5,10,3802,0,1,1
1,78497.0,44,207,26,447,75,0,223,1,5,7,12,2,0,0,73,2,978,4007,1,0,0
4,51650.0,81,152,3,22,2,5,7,1,4,1,4,5,0,0,48,3,191,3846,0,1,1
1,16248.0,77,12,11,10,3,12,9,3,2,1,3,6,0,0,36,3,57,3847,0,1,1
3,66835.0,21,620,26,195,34,17,141,1,6,4,13,2,0,0,78,2,1033,4071,0,0,0
3,30477.0,16,47,1,6,0,0,12,1,1,1,3,6,0,0,40,3,66,3955,0,1,1
0,28249.0,80,1,9,7,2,14,10,1,2,0,3,6,0,0,63,2,43,3811,0,0,1
2,25271.0,45,10,1,18,10,4,7,1,1,1,2,9,0,0,41,3,50,4368,0,1,1
4,32303.0,63,35,0,2,0,0,2,2,1,0,4,5,0,0,54,2,39,3910,0,1,1
2,61286.0,34,356,0,107,19,9,117,2,7,1,8,5,0,0,58,3,608,4128,0,1,2
2,74068.0,14,783,30,537,140,76,15,1,4,10,9,2,0,0,48,2,1581,4264,0,0,0
4,45759.0,13,42,1,18,3,0,4,2,2,0,3,7,0,0,60,4,68,4288,0,1,1
0,24882.0,52,1,4,10,29,0,36,1,1,1,2,6,0,0,46,3,80,4455,1,1,1
4,66973.0,98,466,22,432,147,113,102,1,8,7,12,3,0,0,35,2,1282,4205,0,0,0
1,36640.0,99,15,6,8,7,4,25,1,2,1,2,5,1,0,124,2,65,4073,0,1,1
2,38872.0,93,23,3,21,3,19,22,2,3,0,3,8,0,0,36,3,91,4192,0,1,1
2,51148.0,38,235,6,45,8,9,12,4,5,1,6,6,0,0,51,4,315,4293,0,1,2
2,31353.0,24,10,0,10,3,1,7,2,1,1,2,8,0,0,47,4,31,3979,0,1,1
3,69661.0,80,656,16,106,32,16,8,1,7,3,12,3,0,0,44,2,834,3844,0,0,0
2,80067.0,82,519,17,813,27,173,51,1,4,6,6,2,0,0,70,2,1600,4080,1,0,0
2,86718.0,20,344,189,482,50,33,172,1,5,6,5,2,0,0,70,2,1270,4325,0,0,0
4,46854.0,81,96,1,79,7,1,79,6,5,1,3,8,0,1,51,3,263,3887,2,1,2
2,69142.0,50,448,4,34,6,4,39,3,8,1,7,5,0,0,72,2,535,3797,1,1,2
2,75922.0,60,265,138,553,224,23,92,1,4,4,9,1,0,0,56,1,1295,3999,0,0,0
2,63693.0,63,587,43,337,42,87,54,3,11,6,9,6,0,0,46,2,1150,4055,0,1,2
4,102160.0,54,763,29,138,76,176,58,0,7,9,10,4,0,1,47,2,1240,4401,4,0,0
4,40637.0,72,22,0,13,0,0,3,2,1,0,3,7,0,0,59,3,38,4144,0,1,1
3,18890.0,5,6,4,1,7,2,15,1,0,1,2,6,0,1,40,1,35,4393,2,0,1
2,29604.0,88,7,6,13,7,6,14,1,1,0,3,9,0,0,36,3,53,4000,1,1,1
3,48721.0,50,81,18,113,47,13,21,6,4,2,5,6,0,0,61,3,293,4209,0,1,2
2,44794.0,99,54,0,7,0,0,4,1,2,0,3,6,0,0,58,3,65,3818,0,1,1
2,64497.0,17,1170,48,320,42,32,192,5,11,4,9,8,0,1,70,2,1804,4454,2,1,2
2,46097.0,11,72,24,68,65,4,8,5,3,1,6,4,0,0,68,3,241,4252,0,1,2
2,77972.0,18,613,22,319,33,102,12,1,4,6,9,1,0,0,70,2,1101,3900,0,0,0
4,44377.0,70,224,0,30,0,0,10,8,5,1,5,8,0,0,56,4,264,4429,0,1,2
3,46014.0,21,410,0,59,19,9,44,10,7,1,8,7,0,0,50,4,541,4321,0,1,2
2,70951.0,66,239,10,554,254,87,54,1,3,4,9,1,0,0,39,2,1198,4218,0,0,0
2,41443.0,79,171,7,171,25,19,89,6,8,1,5,8,0,0,47,3,482,3886,0,1,2
1,52195.0,2,12,0,4,0,0,1,1,1,0,2,8,0,0,46,4,17,3845,0,1,1
3,83790.0,81,1076,16,417,42,48,16,1,8,10,6,3,0,0,76,2,1615,4023,2,0,0
3,44551.0,24,182,4,33,0,0,66,2,4,1,5,7,0,0,70,2,285,4099,0,1,1
2,69508.0,48,824,32,162,42,32,43,2,11,4,11,6,0,0,44,3,1135,4389,0,1,2
1,45204.0,93,30,11,25,29,1,18,1,1,1,4,3,0,0,36,3,114,3876,0,1,1
2,72460.0,56,377,10,540,80,30,10,1,3,5,7,1,0,0,55,2,1047,4024,0,0,0
4,77622.0,3,520,7,154,19,0,14,2,6,3,11,3,0,0,54,4,714,3873,0,1,2
4,30732.0,44,155,1,25,0,1,3,4,4,1,4,8,0,0,44,3,185,4337,0,1,1
2,63887.0,38,897,23,207,15,11,92,5,9,6,12,6,0,0,62,2,1245,4456,0,1,2
2,42011.0,46,131,0,16,2,1,39,4,3,1,4,8,0,0,46,3,189,4257,0,1,1
2,51369.0,84,297,7,79,0,11,182,2,8,2,4,8,0,0,48,3,576,4409,0,1,2
2,51537.0,27,787,20,204,0,0,92,3,2,2,11,8,0,0,72,2,1103,4364,0,1,2
4,79930.0,72,792,86,740,67,51,17,1,3,5,8,2,0,0,52,2,1753,4487,0,0,0
4,34320.0,66,4,1,9,3,0,0,1,1,0,2,8,0,0,38,3,17,3930,0,1,1
2,37070.0,30,231,7,137,4,15,39,9,5,1,8,7,0,1,58,3,433,4263,1,1,2
1,81975.0,2,983,76,184,180,138,27,1,6,3,4,7,0,0,62,2,1588,4337,1,1,0
2,38590.0,65,3,1,8,4,3,3,1,1,0,2,8,0,0,53,3,22,4207,0,1,1
2,15033.0,37,0,4,5,6,0,4,1,1,0,3,3,0,0,73,1,19,3871,0,0,1
4,62745.0,89,562,21,464,28,10,32,3,7,8,11,5,0,0,59,3,1117,4260,0,1,2
1,22212.0,49,5,9,20,6,8,21,2,2,0,4,6,0,0,49,3,69,3999,0,1,1
3,23661.0,46,18,0,4,0,0,1,1,1,0,3,7,0,0,42,3,23,4004,0,1,1
4,79761.0,32,415,5,124,15,35,11,1,5,2,11,3,0,0,66,2,605,4065,0,1,2
2,7500.0,54,5,3,10,12,7,20,4,3,1,3,7,0,0,51,2,57,3982,0,1,1
1,60182.0,23,8,0,5,7,0,2,1,1,0,2,4,0,0,131,2,22,3840,0,1,1
2,73455.0,98,901,61,757,186,163,20,1,6,5,10,3,0,0,56,1,2088,4041,1,0,0
2,64961.0,97,382,114,276,75,124,38,2,6,4,4,3,0,0,66,3,1009,4350,0,1,0
2,22804.0,75,14,1,7,2,1,1,1,2,0,2,9,0,0,53,2,26,4130,0,1,1
2,73687.0,8,559,153,503,218,13,181,1,3,9,9,2,0,1,34,2,1627,4010,2,0,0
2,61074.0,37,789,0,133,0,28,152,7,11,5,8,7,0,0,66,3,1102,4478,0,1,2
4,31686.0,31,11,0,5,0,0,1,2,1,0,3,6,0,0,60,4,17,3821,0,1,1
2,80134.0,40,1218,16,272,104,0,80,2,5,3,6,6,0,1,52,3,1690,4202,4,1,0
2,75027.0,74,925,64,179,133,12,77,2,9,4,6,5,0,0,71,3,1390,4333,0,1,2
4,67546.0,90,864,134,768,150,38,172,1,4,10,5,3,0,0,36,2,2126,4464,0,0,0
3,65176.0,57,960,28,183,220,70,70,4,9,6,6,6,0,0,55,3,1531,4405,0,1,2
3,31160.0,59,16,3,25,6,1,13,2,2,0,3,8,0,0,49,2,64,4083,0,1,1
2,29938.0,52,3,3,7,0,2,11,2,1,0,3,6,0,0,39,2,26,4042,0,1,1
2,102692.0,5,168,148,444,32,172,148,1,6,9,13,2,0,1,50,1,1112,4247,5,0,0
1,26490.0,92,45,47,52,21,20,25,2,3,1,5,6,0,0,66,2,210,4442,0,0,1
2,75702.0,77,650,28,353,45,42,30,5,4,6,11,8,0,0,57,4,1148,4466,0,1,2
4,30899.0,35,24,0,8,0,0,1,2,1,0,3,6,0,0,50,2,33,4421,0,1,1
4,63342.0,48,918,21,118,13,10,21,3,8,3,5,6,0,0,63,3,1101,4418,1,1,2
2,45989.0,97,138,33,87,28,24,12,4,3,2,7,3,0,0,60,2,322,4412,0,1,2
2,18701.0,95,12,4,2,10,6,10,4,2,0,4,5,0,0,60,3,44,4187,0,1,1
4,40737.0,24,11,0,4,0,0,2,1,1,0,2,8,0,0,67,4,17,4000,0,1,1
2,15287.0,60,1,2,8,4,3,13,2,1,1,2,7,0,1,45,2,31,4424,2,1,1
4,69674.0,46,554,41,215,11,0,24,3,10,2,10,5,0,0,56,3,845,4200,0,1,2
3,44159.0,85,167,2,62,24,13,7,4,4,1,6,5,0,0,54,3,275,3809,0,1,1
4,37717.0,31,9,0,6,4,1,5,1,1,0,2,9,0,0,46,3,25,4380,0,1,1
3,43776.0,9,177,2,71,3,2,20,6,5,2,4,8,0,1,72,4,275,4308,1,1,2
3,38179.0,30,38,4,22,4,2,20,4,3,1,3,7,0,0,58,4,90,4269,0,1,1
2,80124.0,47,483,84,398,205,84,241,1,3,7,8,1,0,0,61,2,1495,3800,1,0,0
4,38097.0,70,77,2,35,0,1,69,4,3,2,2,7,0,1,54,4,184,4419,2,1,2
2,72940.0,13,182,74,298,162,149,116,1,3,3,6,1,0,0,54,2,981,4172,0,0,0
2,22070.0,11,10,7,19,8,2,21,2,2,2,2,6,0,0,54,3,67,4065,0,1,1
2,69267.0,31,778,44,499,95,73,146,2,3,4,5,7,0,1,71,1,1635,4442,1,0,0
3,31788.0,15,16,7,23,0,8,6,3,3,0,4,5,1,0,41,2,60,3898,0,1,1
